Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,18,0.340,3.295,0.025,0.100,1.000,0.000,0.897,14.080,119.038
1,24,0.240,3.046,0.037,0.104,1.000,3.000,0.853,21.880,170.033
2,13,0.226,3.564,0.032,0.103,1.000,0.000,0.856,8.476,83.348
3,10,0.369,3.378,0.045,0.094,2.000,1.000,0.808,5.011,73.130
4,18,0.211,3.273,0.070,0.164,5.000,1.000,0.756,12.518,133.764
5,14,0.283,2.897,0.027,0.081,1.000,0.000,0.830,7.537,85.117
6,22,0.248,3.253,0.024,0.061,1.000,0.000,0.886,16.459,152.007
7,23,0.272,3.327,0.048,0.122,2.000,0.000,0.866,19.093,158.232
8,14,0.363,3.094,0.179,0.419,10.000,0.000,0.768,8.806,106.070
9,18,0.232,2.881,0.036,0.106,1.000,1.000,0.793,12.453,116.788
10,15,0.382,2.949,0.030,0.091,1.000,0.000,0.857,10.450,110.128
11,18,0.238,2.961,0.019,0.061,1.000,1.000,0.812,15.598,124.328
12,19,0.239,2.929,0.039,0.091,1.000,0.000,0.843,12.449,121.314
13,17,0.219,3.344,0.060,0.159,2.000,0.000,0.800,13.317,112.010
14,18,0.328,2.729,0.054,0.161,3.000,0.000,0.859,14.132,125.159
15,11,0.261,3.171,0.015,0.079,1.000,1.000,0.850,6.852,70.427
16,8,0.217,3.783,0.027,0.076,2.000,0.000,0.766,3.220,57.518
17,19,0.299,2.882,0.039,0.089,1.000,0.000,0.895,16.269,127.875
18,20,0.206,2.819,0.039,0.074,1.000,1.000,0.773,14.896,152.148
19,19,0.202,3.014,0.049,0.126,5.000,2.000,0.769,14.568,149.946
20,12,0.279,2.775,0.026,0.084,1.000,0.000,0.909,6.179,72.689
21,23,0.257,2.659,0.042,0.138,1.000,2.000,0.865,17.888,178.401
22,16,0.284,3.073,0.036,0.113,1.000,1.000,0.806,10.715,136.921
23,17,0.279,2.929,0.047,0.092,3.000,0.000,0.877,14.126,111.070
24,20,0.248,2.985,0.045,0.097,3.000,1.000,0.804,15.816,131.875
25,19,0.187,3.477,0.052,0.139,2.000,1.000,0.775,13.778,134.528
26,19,0.290,2.977,0.047,0.115,1.000,1.000,0.831,11.603,146.079
27,26,0.279,3.174,0.046,0.122,3.000,1.000,0.864,25.302,198.638
28,17,0.323,2.788,0.059,0.380,2.000,1.000,0.836,12.645,142.564
29,11,0.396,3.827,0.039,0.085,1.000,0.000,0.737,6.993,73.895
