Data,Method,Feasible Num,Space Utilization,Planning Time,All time
time_series,left_bottom,39,0.724731980324074,1.19094467163086,87.5552
,heightmap_min,41,0.779489480324074,1.1556978225708,92.0444
,LSAH,37,0.671063310185185,0.14463210105896,82.0659
,MACS,38,0.698442060185185,0.257035732269287,84.3717
,RANDOM,27,0.458735587962963,0.742690324783325,61.0361
,OnlineBPH,37,0.671063310185185,0.102988243103027,82.2006
,DBL,37,0.671063310185185,1.09542202949524,83.0561
,BR,32,0.563885613425926,5.65820574760437,76.7375
,pct,44,0.861625730324074,0.20068097114563,97.3727
occupancy,left_bottom,23,0.504685960871056,0.410507678985596,51.0077
,heightmap_min,24,0.589012092558299,0.406583786010742,53.2615
,LSAH,23,0.504685960871056,0.074710369110107,50.6598
,MACS,23,0.504685960871056,0.180340766906738,50.8994
,RANDOM,19,0.319110954441015,0.381729602813721,42.3453
,OnlineBPH,23,0.504685960871056,0.504685960871056,50.6217
,DBL,23,0.504685960871056,0.402638673782349,51.0411
,BR,21,0.425694191323731,0.068558692932129,46.3389
,pct,29,0.776810272856653,0.145012140274048,63.844
flat_long,left_bottom,35,0.47756517650463,0.312671899795532,76.6955
,heightmap_min,15,0.197215277777778,0.134888648986816,33.3152
,LSAH,35,0.47756517650463,0.058732271194458,76.4716
,MACS,19,0.250433810763889,0.146538734436035,41.9352
,RANDOM,15,0.197215277777778,0.129163503646851,33.2348
,OnlineBPH,44,0.572379557291667,0.062882661819458,95.909
,DBL,44,0.572379557291667,0.479779720306397,96.4302
,BR,29,0.367777994791667,0.085472822189331,63.5208
,pct,48,0.614157624421296,1.22179126739502,105.7685
