Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,14,0.433,0.006,0.934,33.642,108.604
1,23,0.386,0.016,0.900,52.360,187.192
2,27,0.452,0.015,0.903,61.847,228.216
3,19,0.428,0.011,0.831,61.696,170.983
4,3,0.551,0.002,0.910,7.682,34.408
5,21,0.431,0.015,0.948,54.586,176.649
6,24,0.417,0.012,0.938,55.707,199.366
7,15,0.426,0.006,0.863,36.888,120.933
8,11,0.441,0.003,0.943,29.789,95.735
9,32,0.386,0.020,0.841,123.697,339.055
10,15,0.414,0.004,0.930,52.641,135.266
11,15,0.446,0.010,0.860,38.095,124.768
12,29,0.354,0.022,0.854,97.773,294.791
13,24,0.341,0.016,0.765,62.051,215.182
14,37,0.384,0.020,0.860,114.961,372.867
15,19,0.423,0.007,0.880,45.269,152.648
16,29,0.380,0.103,0.811,82.219,276.953
17,8,0.427,0.001,0.947,17.617,65.015
18,11,0.427,0.006,0.881,28.828,92.538
19,2,0.422,0.001,0.960,4.772,26.068
20,23,0.417,0.017,0.818,67.001,206.635
21,32,0.410,0.010,0.849,119.952,323.658
22,27,0.405,0.024,0.888,69.617,241.485
23,21,0.450,0.005,0.973,50.404,172.562
24,24,0.363,0.015,0.872,69.001,217.962
25,6,0.408,0.004,0.813,12.869,51.429
26,9,0.438,0.003,0.956,18.825,72.536
27,17,0.443,0.005,0.937,41.525,133.506
28,24,0.424,0.010,0.849,70.328,214.534
29,1,0.648,0.001,0.928,3.070,23.559
