Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,19,0.378,0.368,0.005,0.960,10.068,86.600
1,35,0.451,0.386,0.019,0.946,19.104,187.049
2,31,0.313,0.458,0.004,0.953,15.595,159.367
3,29,0.330,0.381,0.004,0.961,22.763,152.429
4,56,0.583,0.352,0.026,0.915,38.310,395.603
5,43,0.455,0.466,0.006,0.953,25.595,248.519
6,56,0.549,0.388,0.009,0.961,39.635,382.701
7,33,0.475,0.365,0.015,0.933,21.602,179.134
8,43,0.417,0.428,0.006,0.940,27.077,244.193
9,30,0.344,0.436,0.003,0.961,22.500,161.569
10,46,0.571,0.318,0.021,0.923,35.429,297.792
11,35,0.326,0.414,0.007,0.944,18.590,180.298
12,18,0.206,0.467,0.001,0.967,10.337,74.578
13,27,0.179,0.418,0.000,0.946,13.454,111.530
14,38,0.425,0.383,0.008,0.944,21.729,215.936
15,51,0.579,0.315,0.023,0.924,33.988,341.560
16,40,0.372,0.419,0.005,0.948,27.572,216.872
17,20,0.196,0.442,0.001,0.960,8.016,78.982
18,49,0.387,0.394,0.006,0.946,44.271,316.496
19,25,0.252,0.422,0.005,0.969,14.133,109.254
20,40,0.359,0.453,0.006,0.941,24.492,206.985
21,20,0.281,0.393,0.003,0.954,13.930,86.747
22,43,0.406,0.412,0.010,0.957,25.464,292.204
23,53,0.516,0.369,0.020,0.959,37.610,390.705
24,35,0.325,0.425,0.003,0.962,21.343,183.789
25,30,0.405,0.388,0.007,0.939,14.182,151.594
26,24,0.220,0.412,0.001,0.966,10.206,99.516
27,42,0.472,0.363,0.015,0.934,22.788,239.305
28,42,0.488,0.387,0.022,0.914,23.956,230.097
29,35,0.289,0.365,0.010,0.933,41.374,202.146
