Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,23,0.423,3.509,0.046,4.000,0.000,0.828,32.067,256.344
1,17,0.428,2.983,0.028,3.000,1.000,0.901,23.123,179.956
2,9,0.387,1.993,0.063,3.000,0.000,0.813,12.513,90.737
3,15,0.246,2.934,0.035,1.000,1.000,0.704,19.619,162.424
4,10,0.334,2.177,0.039,1.000,0.000,0.859,14.524,113.444
5,15,0.305,2.464,0.027,1.000,1.000,0.861,21.566,173.275
6,18,0.257,3.324,0.057,4.000,0.000,0.823,26.922,193.006
7,12,0.328,2.687,0.032,1.000,0.000,0.834,17.129,115.398
8,9,0.430,1.989,0.049,1.000,0.000,0.751,12.444,85.985
9,15,0.284,3.183,0.054,3.000,0.000,0.738,22.707,176.381
10,11,0.409,2.430,0.183,3.000,0.000,0.874,16.453,116.450
11,13,0.365,3.098,0.038,1.000,0.000,0.787,18.090,143.424
12,17,0.277,2.969,0.042,2.000,0.000,0.844,24.651,211.402
13,10,0.430,2.433,0.045,1.000,0.000,0.865,14.281,95.609
14,10,0.355,2.037,0.072,3.000,1.000,0.832,11.030,84.165
15,15,0.434,2.848,0.050,3.000,1.000,0.890,16.956,152.571
16,16,0.312,2.844,0.067,1.000,0.000,0.791,17.674,144.826
17,9,0.435,2.766,0.045,3.000,0.000,0.955,9.297,80.148
18,5,0.123,2.787,0.089,1.000,0.000,0.661,6.042,61.674
19,11,0.307,2.358,0.052,2.000,1.000,0.702,12.222,100.215
20,12,0.338,2.374,0.076,3.000,1.000,0.789,13.395,123.783
21,10,0.453,3.112,0.049,2.000,0.000,0.866,10.430,97.433
22,5,0.354,1.504,0.080,1.000,0.000,0.755,5.528,48.637
23,15,0.415,2.728,0.050,3.000,0.000,0.742,16.844,160.962
24,10,0.441,2.397,0.018,1.000,0.000,0.947,7.840,81.073
25,14,0.179,2.311,0.071,4.000,1.000,0.661,11.518,128.104
26,19,0.423,2.434,0.037,3.000,1.000,0.920,15.096,161.375
27,13,0.405,2.910,0.051,3.000,0.000,0.888,11.321,107.112
28,7,0.194,2.387,0.028,1.000,0.000,0.647,4.276,51.879
29,10,0.397,2.068,0.082,5.000,0.000,0.751,6.345,79.318
